dataset,record_id,column_name,issue_type,raw_value,corrected_value,quality_status,timestamp
school_master,SCH0205,district,MISSING_VALUE_IMPUTED,nan,Ferozepur,CORRECTED,2026-09-17T14:36:11.593806
school_master,SCH0453,district,MISSING_VALUE_IMPUTED,nan,Ludhiana,CORRECTED,2026-09-17T14:36:11.594104
school_master,SCH0182,district,MISSING_VALUE_IMPUTED,nan,Moga,CORRECTED,2026-09-17T14:36:11.594349
school_master,SCH0279,district,MISSING_VALUE_IMPUTED,nan,Moga,CORRECTED,2026-09-17T14:36:11.594575
school_master,SCH0330,district,MISSING_VALUE_IMPUTED,nan,Moga,CORRECTED,2026-09-17T14:36:11.594801
school_master,SCH0085,district,UNRESOLVED_MISSING_DISTRICT,nan,Unassigned,SUSPICIOUS,2026-09-17T14:36:11.595023
school_master,SCH0491,district,MISSING_VALUE_IMPUTED,nan,Sangrur,CORRECTED,2026-09-17T14:36:11.595241
school_master,SCH0519,district,MISSING_VALUE_IMPUTED,nan,Bathinda,CORRECTED,2026-09-17T14:36:11.595448
school_master,SCH0582,district,MISSING_VALUE_IMPUTED,nan,Patiala,CORRECTED,2026-09-17T14:36:11.595659
school_master,SCH0026,district,MISSING_VALUE_IMPUTED,nan,Ludhiana,CORRECTED,2026-09-17T14:36:11.595872
school_master,SCH0355,district,MISSING_VALUE_IMPUTED,nan,Jalandhar,CORRECTED,2026-09-17T14:36:11.596082
school_master,SCH0169,district,UNRESOLVED_MISSING_DISTRICT,nan,Unassigned,SUSPICIOUS,2026-09-17T14:36:11.596295
school_master,SCH0381,district,MISSING_VALUE_IMPUTED,nan,Ferozepur,CORRECTED,2026-09-17T14:36:11.596504
school_master,SCH0480,district,MISSING_VALUE_IMPUTED,nan,Ferozepur,CORRECTED,2026-09-17T14:36:11.596714
school_master,SCH0307,district,MISSING_VALUE_IMPUTED,nan,Patiala,CORRECTED,2026-09-17T14:36:11.596921
school_master,SCH0233,district,MISSING_VALUE_IMPUTED,nan,Ludhiana,CORRECTED,2026-09-17T14:36:11.597125
school_master,SCH0352,district,MISSING_VALUE_IMPUTED,nan,Jalandhar,CORRECTED,2026-09-17T14:36:11.597329
school_master,SCH0002,district,MISSING_VALUE_IMPUTED,nan,Amritsar,CORRECTED,2026-09-17T14:36:11.597540
school_master,SCH0576,district,MISSING_VALUE_IMPUTED,nan,Amritsar,CORRECTED,2026-09-17T14:36:11.597746
school_master,SCH0316,district,MISSING_VALUE_IMPUTED,nan,Ludhiana,CORRECTED,2026-09-17T14:36:11.597951
school_master,SCH0563,district,MISSING_VALUE_IMPUTED,nan,Bathinda,CORRECTED,2026-09-17T14:36:11.598159
school_master,SCH0561,district,MISSING_VALUE_IMPUTED,nan,Sangrur,CORRECTED,2026-09-17T14:36:11.598348
student_attendance,ATT0001394,present_students,PROXY_ATTENDANCE_SUNDAY_100PCT,"Date: 2025-09-07, Present: 183/183",Flagged as SUSPICIOUS_PROXY,SUSPICIOUS,2026-09-17T14:36:11.710843
student_attendance,ATT0003932,present_students,PROXY_ATTENDANCE_SUNDAY_100PCT,"Date: 2025-11-09, Present: 296/296",Flagged as SUSPICIOUS_PROXY,SUSPICIOUS,2026-09-17T14:36:11.710868
student_attendance,ATT0016450,present_students,PROXY_ATTENDANCE_SUNDAY_100PCT,"Date: 2026-03-22, Present: 236/236",Flagged as SUSPICIOUS_PROXY,SUSPICIOUS,2026-09-17T14:36:11.710887
student_attendance,ATT0012107,present_students,PROXY_ATTENDANCE_SUNDAY_100PCT,"Date: 2025-04-13, Present: 214/214",Flagged as SUSPICIOUS_PROXY,SUSPICIOUS,2026-09-17T14:36:11.710903
student_attendance,ATT0015816,present_students,PROXY_ATTENDANCE_SUNDAY_100PCT,"Date: 2025-05-04, Present: 187/187",Flagged as SUSPICIOUS_PROXY,SUSPICIOUS,2026-09-17T14:36:11.710919
student_attendance,ATT0013584,present_students,PROXY_ATTENDANCE_SUNDAY_100PCT,"Date: 2025-11-30, Present: 64/64",Flagged as SUSPICIOUS_PROXY,SUSPICIOUS,2026-09-17T14:36:11.710934
student_attendance,ATT0015261,present_students,PROXY_ATTENDANCE_SUNDAY_100PCT,"Date: 2025-09-21, Present: 166/166",Flagged as SUSPICIOUS_PROXY,SUSPICIOUS,2026-09-17T14:36:11.710949
student_attendance,ATT0016429,present_students,PROXY_ATTENDANCE_SUNDAY_100PCT,"Date: 2025-11-02, Present: 41/41",Flagged as SUSPICIOUS_PROXY,SUSPICIOUS,2026-09-17T14:36:11.710964
student_attendance,ATT0019746,present_students,PROXY_ATTENDANCE_SUNDAY_100PCT,"Date: 2025-11-16, Present: 119/119",Flagged as SUSPICIOUS_PROXY,SUSPICIOUS,2026-09-17T14:36:11.710978
student_attendance,ATT0013496,present_students,PROXY_ATTENDANCE_SUNDAY_100PCT,"Date: 2025-10-05, Present: 59/59",Flagged as SUSPICIOUS_PROXY,SUSPICIOUS,2026-09-17T14:36:11.710993
student_attendance,ATT0002175,present_students,OVERFLOW_PRESENT_EXCEEDS_TOTAL,Present: 271 > Total: 260,Flagged as INVALID_OVERFLOW,INVALID,2026-09-17T14:36:11.711687
student_attendance,ATT0007459,present_students,OVERFLOW_PRESENT_EXCEEDS_TOTAL,Present: 188 > Total: 181,Flagged as INVALID_OVERFLOW,INVALID,2026-09-17T14:36:11.711707
student_attendance,ATT0010713,present_students,OVERFLOW_PRESENT_EXCEEDS_TOTAL,Present: 315 > Total: 299,Flagged as INVALID_OVERFLOW,INVALID,2026-09-17T14:36:11.711723
student_attendance,ATT0003799,present_students,OVERFLOW_PRESENT_EXCEEDS_TOTAL,Present: 104 > Total: 92,Flagged as INVALID_OVERFLOW,INVALID,2026-09-17T14:36:11.711738
student_attendance,ATT0007882,present_students,OVERFLOW_PRESENT_EXCEEDS_TOTAL,Present: 145 > Total: 137,Flagged as INVALID_OVERFLOW,INVALID,2026-09-17T14:36:11.711752
student_attendance,ATT0015453,present_students,OVERFLOW_PRESENT_EXCEEDS_TOTAL,Present: 69 > Total: 56,Flagged as INVALID_OVERFLOW,INVALID,2026-09-17T14:36:11.711766
student_attendance,ATT0012139,present_students,OVERFLOW_PRESENT_EXCEEDS_TOTAL,Present: 176 > Total: 160,Flagged as INVALID_OVERFLOW,INVALID,2026-09-17T14:36:11.711779
student_attendance,ATT0006557,present_students,OVERFLOW_PRESENT_EXCEEDS_TOTAL,Present: 159 > Total: 142,Flagged as INVALID_OVERFLOW,INVALID,2026-09-17T14:36:11.711793
student_attendance,ATT_GEN_000003,present_students,OVERFLOW_PRESENT_EXCEEDS_TOTAL,Present: 139 > Total: 128,Flagged as INVALID_OVERFLOW,INVALID,2026-09-17T14:36:11.711806
student_attendance,ATT0005478,present_students,OVERFLOW_PRESENT_EXCEEDS_TOTAL,Present: 225 > Total: 209,Flagged as INVALID_OVERFLOW,INVALID,2026-09-17T14:36:11.711820
