school_id,school_name,district,block,total_enrolled_students,school_type,medium
SCH0001,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,Upper Primary,Hindi
SCH0002,Govt. Primary School Dewan,Amritsar,Tarn Taran,56,Upper Primary,Hindi
SCH0003,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English
SCH0004,Govt. Elementary School Kaur,Bathinda,Unassigned,150,Secondary,English
SCH0005,Govt. Elementary School Bajwa,Bathinda,Unassigned,413,Primary,English
SCH0006,Govt. Primary School Bahri,Moga,Moga-II,400,Upper Primary,Punjabi
SCH0007,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English
SCH0008,Govt. Middle School Sibal,Amritsar,Amritsar-II,313,Upper Primary,Hindi
SCH0009,Govt. Middle School Bakshi,Patiala,Samana,433,Upper Primary,Punjabi
SCH0010,Govt. Elementary School Mani,Patiala,Samana,148,Higher Secondary,Hindi
SCH0011,Govt. Senior Secondary School Munshi,Patiala,Samana,422,Higher Secondary,Punjabi
SCH0012,Govt. Elementary School Mand,Ludhiana,Ludhiana-I,118,Higher Secondary,Punjabi
SCH0013,Govt. Middle School Contractor,Bathinda,Bathinda,388,Secondary,Punjabi
SCH0014,Govt. Senior Secondary School Soman,Jalandhar,Phillaur,41,Secondary,Punjabi
SCH0015,Govt. Primary School Brahmbhatt,Bathinda,Maur,118,Upper Primary,Punjabi
SCH0016,Govt. Senior Secondary School Varughese,Ludhiana,Ludhiana-I,225,Secondary,Punjabi
SCH0017,Govt. Elementary School Pandit,Amritsar,Tarn Taran,75,Upper Primary,Hindi
SCH0018,Govt. Elementary School Palla,Bathinda,Talwandi Sabo,148,Upper Primary,English
SCH0019,Govt. Senior Secondary School Venkatesh,Sangrur,Dhuri,101,Primary,Punjabi
SCH0020,Govt. Primary School Soman,Amritsar,Amritsar-I,157,Primary,English
SCH0021,Govt. Elementary School Sami,Sangrur,Sunam,316,Higher Secondary,Hindi
SCH0022,Govt. Primary School Aggarwal,Amritsar,Amritsar-I,377,Higher Secondary,Punjabi
SCH0023,Govt. Senior Secondary School Bumb,Ludhiana,Machhiwara,412,Primary,Hindi
SCH0024,Govt. Primary School Bhandari,Ferozepur,Unassigned,182,Primary,Hindi
SCH0025,Govt. Elementary School Tella,Ludhiana,Ludhiana-I,425,Upper Primary,Punjabi
SCH0026,Govt. Elementary School Narayan,Ludhiana,Ludhiana-II,234,Higher Secondary,Hindi
SCH0027,Govt. Primary School Lal,Sangrur,Sunam,137,Primary,Punjabi
SCH0028,Govt. Primary School Sengupta,Ludhiana,Machhiwara,297,Upper Primary,Punjabi
SCH0029,Govt. Primary School Lad,Amritsar,Amritsar-II,246,Upper Primary,Punjabi
SCH0030,Govt. Elementary School Kar,Moga,Bagha Purana,144,Secondary,English
SCH0031,Govt. Primary School Mohanty,Sangrur,Unassigned,424,Primary,Hindi
SCH0032,Govt. Senior Secondary School Narang,Bathinda,Maur,218,Upper Primary,Hindi
SCH0033,Govt. Primary School Shroff,Bathinda,Bathinda,381,Secondary,Hindi
SCH0034,Govt. Senior Secondary School Kumar,Bathinda,Bathinda,94,Upper Primary,Hindi
SCH0035,Govt. Elementary School Setty,Bathinda,Talwandi Sabo,168,Primary,Punjabi
SCH0036,Govt. Elementary School Solanki,Ludhiana,Doraha,434,Secondary,Punjabi
SCH0037,Govt. Middle School More,Ludhiana,Ludhiana-I,78,Upper Primary,Hindi
SCH0038,Govt. Senior Secondary School Mandal,Ferozepur,Zira,61,Primary,Punjabi
SCH0039,Govt. Senior Secondary School Baral,Moga,Nihal Singh Wala,357,Upper Primary,Punjabi
SCH0040,Govt. Primary School Gole,Jalandhar,Nakodar,440,Upper Primary,Punjabi
SCH0041,Govt. Senior Secondary School Kuruvilla,Sangrur,Sunam,142,Higher Secondary,Hindi
SCH0042,Govt. Elementary School Bhatnagar,Ferozepur,Makhu,182,Secondary,Hindi
SCH0043,Govt. Middle School Sachar,Moga,Unassigned,99,Secondary,Hindi
SCH0044,Govt. Primary School Rajagopalan,Ferozepur,Makhu,413,Higher Secondary,Hindi
SCH0045,Govt. Senior Secondary School Divan,Patiala,Samana,62,Primary,Punjabi
SCH0046,Govt. Elementary School Mody,Moga,Bagha Purana,379,Secondary,English
SCH0047,Govt. Senior Secondary School Karpe,Jalandhar,Jalandhar-II,255,Higher Secondary,English
SCH0048,Govt. Middle School Chana,Ferozepur,Ferozepur,195,Higher Secondary,Punjabi
SCH0049,Govt. Middle School Purohit,Patiala,Rajpura,446,Upper Primary,Hindi
SCH0050,Govt. Senior Secondary School Tank,Moga,Moga-I,424,Secondary,Punjabi
SCH0051,Govt. Senior Secondary School Sarkar,Patiala,Rajpura,352,Primary,Punjabi
SCH0052,Govt. Primary School Kannan,Sangrur,Dhuri,164,Primary,Hindi
SCH0053,Govt. Elementary School Tailor,Jalandhar,Phillaur,65,Primary,Hindi
SCH0054,Govt. Elementary School Bajwa,Moga,Nihal Singh Wala,353,Higher Secondary,Punjabi
SCH0055,Govt. Elementary School Sem,Sangrur,Malerkotla,424,Secondary,English
SCH0056,Govt. Primary School Nagar,Sangrur,Sangrur,405,Secondary,Hindi
SCH0057,Govt. Elementary School Wagle,Ferozepur,Zira,401,Higher Secondary,Hindi
SCH0058,Govt. Elementary School Savant,Ferozepur,Mamdot,434,Primary,English
SCH0059,Govt. Middle School Barman,Bathinda,Talwandi Sabo,254,Upper Primary,Punjabi
SCH0060,Govt. Elementary School Srinivas,Ferozepur,Makhu,382,Higher Secondary,Hindi
SCH0061,Govt. Elementary School Dhawan,Ludhiana,Machhiwara,343,Primary,Punjabi
SCH0062,Govt. Middle School Pradhan,Jalandhar,Jalandhar-I,173,Upper Primary,Punjabi
SCH0063,Govt. Primary School Singhal,Bathinda,Talwandi Sabo,169,Higher Secondary,English
SCH0064,Govt. Senior Secondary School Nayar,Patiala,Patiala,439,Primary,Punjabi
SCH0065,Govt. Senior Secondary School Palla,Jalandhar,Jalandhar-II,104,Primary,English
SCH0066,Govt. Senior Secondary School Devan,Moga,Moga-II,350,Primary,Punjabi
SCH0067,Govt. Senior Secondary School Dewan,Ludhiana,Unassigned,334,Higher Secondary,Hindi
SCH0068,Govt. Primary School Mangat,Amritsar,Ajnala,390,Primary,Punjabi
SCH0069,Govt. Elementary School Mital,Moga,Moga-I,299,Primary,English
SCH0070,Govt. Elementary School Nair,Sangrur,Sunam,262,Secondary,Hindi
SCH0071,Govt. Elementary School Comar,Bathinda,Rampura Phul,165,Primary,Punjabi
SCH0072,Govt. Senior Secondary School Sengupta,Ferozepur,Makhu,54,Secondary,English
SCH0073,Govt. Senior Secondary School Shah,Moga,Unassigned,345,Secondary,Punjabi
SCH0074,Govt. Primary School Parmer,Sangrur,Unassigned,393,Higher Secondary,Hindi
SCH0075,Govt. Middle School Mody,Ferozepur,Zira,196,Secondary,Hindi
SCH0076,Govt. Primary School Oommen,Moga,Bagha Purana,399,Secondary,English
SCH0077,Govt. Middle School Buch,Amritsar,Amritsar-II,138,Higher Secondary,Hindi
