record_id,attendance_date,day_of_week,school_id,grade,total_students,present_students,attendance_rate_raw,attendance_rate_capped,teacher_present,marked_by,is_sunday,is_proxy_attendance,is_attendance_overflow,quality_status
ATT0012850,2025-01-04,Saturday,SCH0012,5,116,108,0.931,0.931,1.0,Admin,0,0,0,VALID
ATT_GEN_000250,2025-01-04,Saturday,SCH0013,7,170,119,0.7,0.7,1.0,,0,0,0,VALID
ATT0007088,2025-01-04,Saturday,SCH0048,2,141,94,0.6667,0.6667,1.0,Headmaster,0,0,0,VALID
ATT0013272,2025-01-04,Saturday,SCH0087,5,256,207,0.8086,0.8086,1.0,Clerk,0,0,0,VALID
ATT0019209,2025-01-04,Saturday,SCH0099,1,269,258,0.9591,0.9591,1.0,Headmaster,0,0,0,VALID
ATT0000504,2025-01-04,Saturday,SCH0120,4,79,74,0.9367,0.9367,1.0,Headmaster,0,0,0,VALID
ATT0019452,2025-01-04,Saturday,SCH0200,2,291,241,0.8282,0.8282,1.0,Headmaster,0,0,0,VALID
ATT0015751,2025-01-04,Saturday,SCH0203,5,57,48,0.8421,0.8421,0.0,Admin,0,0,0,VALID
ATT0005684,2025-01-04,Saturday,SCH0285,7,133,92,0.6917,0.6917,1.0,Clerk,0,0,0,VALID
ATT0019029,2025-01-04,Saturday,SCH0354,8,292,230,0.7877,0.7877,0.0,Headmaster,0,0,0,VALID
ATT0010680,2025-01-04,Saturday,SCH0407,8,91,61,0.6703,0.6703,1.0,Class Teacher,0,0,0,VALID
ATT0018124,2025-01-04,Saturday,SCH0491,1,134,89,0.6642,0.6642,1.0,Headmaster,0,0,0,VALID
ATT0011887,2025-01-04,Saturday,SCH0499,7,127,86,0.6772,0.6772,1.0,Class Teacher,0,0,0,VALID
ATT0015296,2025-01-04,Saturday,SCH0536,6,148,91,0.6149,0.6149,0.0,,0,0,0,VALID
ATT0008580,2025-01-04,Saturday,SCH0556,7,175,105,0.6,0.6,1.0,Headmaster,0,0,0,VALID
ATT0005289,2025-01-05,Sunday,SCH0051,3,111,88,0.7928,0.7928,1.0,Headmaster,1,0,0,SUSPICIOUS_SUNDAY
ATT0003441,2025-01-05,Sunday,SCH0057,7,119,86,0.7227,0.7227,1.0,Class Teacher,1,0,0,SUSPICIOUS_SUNDAY
ATT0006140,2025-01-05,Sunday,SCH0072,10,248,159,0.6411,0.6411,1.0,,1,0,0,SUSPICIOUS_SUNDAY
