procurement_id,procurement_date,day_of_week,is_sunday_procurement,school_id,vendor_name,vendor_group,food_category,raw_grain_type,quantity_kg,total_cost_inr,cost_per_kg,payment_status
MDM006638,2025-01-04,Saturday,0,SCH0007,Kumar General Store,Kumar Group,Mustard Oil,Cooking Oil,,3432.0,,PAID
MDM009323,2025-01-04,Saturday,0,SCH0050,Kumar & Co.,Kumar Group,Rice,chawal,47.3,1892.0,40.0,PENDING
MDM008534,2025-01-04,Saturday,0,SCH0120,Sharma Traders,Sharma Group,Wheat,WHEAT,35.3,1059.0,30.0,DUE
MDM004962,2025-01-04,Saturday,0,SCH0138,S. Agro Works,Singh Group,Pulses / Dal,Pulses,18.3,,,
MDM000756,2025-01-04,Saturday,0,SCH0194,S. Agro Works,Singh Group,Mustard Oil,Cooking Oil,38.7,4644.0,120.0,PENDING
MDM010647,2025-01-04,Saturday,0,SCH0245,Goyal Enterprises,Goyal Group,Pulses / Dal,Pulses,46.9,4221.0,90.0,PENDING
MDM006398,2025-01-04,Saturday,0,SCH0248,Kumar & Co.,Kumar Group,Wheat,gehun,26.6,798.0,30.0,PAID
MDM000205,2025-01-04,Saturday,0,SCH0303,Sharma & Sons,Sharma Group,Wheat,Wheat,45.0,1350.0,30.0,DUE
MDM004572,2025-01-04,Saturday,0,SCH0327,S. Agro Works,Singh Group,Rice,RICE,,,,PAID
MDM007191,2025-01-04,Saturday,0,SCH0357,Kumar General Store,Kumar Group,Pulses / Dal,Daal,27.3,2457.0,90.0,DUE
MDM010565,2025-01-04,Saturday,0,SCH0395,S. Agro Works,Singh Group,Pulses / Dal,dal,,3024.0,,
MDM008817,2025-01-04,Saturday,0,SCH0395,Sharma & Sons,Sharma Group,Pulses / Dal,Daal,12.5,1125.0,90.0,PAID
MDM003124,2025-01-04,Saturday,0,SCH0463,Singh Brothers,Singh Group,Mustard Oil,Oil,49.8,5976.0,120.0,PENDING
MDM008276,2025-01-04,Saturday,0,SCH0472,Goyal Rice Mill,Goyal Group,Wheat,gehun,31.0,930.0,30.0,PAID
MDM011497,2025-01-04,Saturday,0,SCH0546,Goyal Rice Mill,Goyal Group,Pulses / Dal,Pulses,27.1,2439.0,90.0,PENDING
MDM010665,2025-01-04,Saturday,0,SCH0558,Kumar General Store,Kumar Group,Mustard Oil,Oil,37.5,4500.0,120.0,PAID
MDM005650,2025-01-05,Sunday,1,SCH0015,Singh Agro,Singh Group,Mustard Oil,Cooking Oil,12.7,1524.0,120.0,DUE
MDM007852,2025-01-05,Sunday,1,SCH0046,Sharma & Sons,Sharma Group,Pulses / Dal,Daal,,1170.0,,PAID
MDM009657,2025-01-05,Sunday,1,SCH0079,Singh Brothers,Singh Group,Rice,Rice,27.4,1096.0,40.0,PAID
MDM005157,2025-01-05,Sunday,1,SCH0150,Kumar Supplies,Kumar Supplies Group,Mustard Oil,Oil,,2400.0,,PAID
MDM003236,2025-01-05,Sunday,1,SCH0197,Goyal Rice Mill,Goyal Group,Pulses / Dal,dal,46.7,4203.0,90.0,PAID
MDM011895,2025-01-05,Sunday,1,SCH0206,Sharma Traders,Sharma Group,Mustard Oil,Cooking Oil,49.7,5964.0,120.0,PENDING
MDM005231,2025-01-05,Sunday,1,SCH0282,Kumar Supplies,Kumar Supplies Group,Rice,RICE,52.7,2108.0,40.0,PAID
MDM008460,2025-01-05,Sunday,1,SCH0284,Goyal Rice Mill,Goyal Group,Mustard Oil,Cooking Oil,59.7,7164.0,120.0,PENDING
MDM004249,2025-01-05,Sunday,1,SCH0315,Sharma Traders,Sharma Group,Mustard Oil,Mustard Oil,52.5,6300.0,120.0,
MDM000084,2025-01-05,Sunday,1,SCH0391,Goyal Enterprises,Goyal Group,Pulses / Dal,Pulses,44.0,3960.0,90.0,PENDING
MDM007966,2025-01-05,Sunday,1,SCH0415,Goyal Rice Mill,Goyal Group,Wheat,Gehun,58.3,1749.0,30.0,PAID
MDM011389,2025-01-05,Sunday,1,SCH0554,Goyal Rice Mill,Goyal Group,Mustard Oil,Oil,37.8,4536.0,120.0,DUE
MDM004135,2025-01-05,Sunday,1,SCH0560,Goyal Rice Mill,Goyal Group,Mustard Oil,Mustard Oil,,6720.0,,
MDM003993,2025-01-06,Monday,0,SCH0146,Singh Agro,Singh Group,Pulses / Dal,Lentils,52.4,4716.0,90.0,
MDM010772,2025-01-06,Monday,0,SCH0168,Goyal Rice Mill,Goyal Group,Pulses / Dal,Dal,31.6,2844.0,90.0,PAID
MDM005966,2025-01-06,Monday,0,SCH0198,Goyal Enterprises,Goyal Group,Pulses / Dal,Lentils,15.6,1404.0,90.0,DUE
MDM001831,2025-01-06,Monday,0,SCH0348,Goyal Enterprises,Goyal Group,Wheat,WHEAT,52.5,1575.0,30.0,PENDING
MDM002180,2025-01-06,Monday,0,SCH0351,Goyal Rice Mill,Goyal Group,Pulses / Dal,Dal,57.2,5148.0,90.0,
MDM009846,2025-01-06,Monday,0,SCH0407,Sharma & Sons,Sharma Group,Rice,Rice,21.5,860.0,40.0,DUE
MDM008224,2025-01-06,Monday,0,SCH0481,Sharma Traders,Sharma Group,Rice,Chawal,26.4,1056.0,40.0,PAID
MDM007513,2025-01-06,Monday,0,SCH0504,Goyal Rice Mill,Goyal Group,Wheat,WHEAT,,,,PAID
MDM008774,2025-01-06,Monday,0,SCH0514,Sharma Traders,Sharma Group,Mustard Oil,Sarson Tel,49.1,5892.0,120.0,PENDING
MDM011430,2025-01-06,Monday,0,SCH0517,S. Agro Works,Singh Group,Wheat,Atta,17.3,519.0,30.0,DUE
MDM002545,2025-01-06,Monday,0,SCH0567,Sharma & Sons,Sharma Group,Pulses / Dal,Dal,,1701.0,,PAID
MDM004546,2025-01-07,Tuesday,0,SCH0012,Singh Brothers,Singh Group,Pulses / Dal,Dal,15.6,1404.0,90.0,PAID
MDM008208,2025-01-07,Tuesday,0,SCH0021,Sharma & Sons,Sharma Group,Mustard Oil,Cooking Oil,,3552.0,,
MDM005668,2025-01-07,Tuesday,0,SCH0026,Singh Brothers,Singh Group,Rice,chawal,,2004.0,,PAID
MDM009833,2025-01-07,Tuesday,0,SCH0134,Goyal Enterprises,Goyal Group,Pulses / Dal,Pulses,23.5,2115.0,90.0,PAID
MDM002988,2025-01-07,Tuesday,0,SCH0321,Singh Brothers,Singh Group,Mustard Oil,Oil,14.1,1692.0,120.0,PENDING
MDM003620,2025-01-07,Tuesday,0,SCH0371,Singh Agro,Singh Group,Wheat,WHEAT,,,,PENDING
MDM002740,2025-01-07,Tuesday,0,SCH0374,Goyal Rice Mill,Goyal Group,Pulses / Dal,Lentils,26.6,2394.0,90.0,PENDING
MDM006889,2025-01-07,Tuesday,0,SCH0382,Kumar & Co.,Kumar Group,Pulses / Dal,Dal,45.5,4095.0,90.0,PAID
MDM009648,2025-01-07,Tuesday,0,SCH0386,Kumar General Store,Kumar Group,Rice,chawal,,1272.0,,PAID
MDM000239,2025-01-07,Tuesday,0,SCH0543,Sharma & Sons,Sharma Group,Mustard Oil,Cooking Oil,29.2,3504.0,120.0,PAID
MDM007401,2025-01-08,Wednesday,0,SCH0040,Sharma Traders,Sharma Group,Rice,RICE,41.4,1656.0,40.0,PENDING
MDM003914,2025-01-08,Wednesday,0,SCH0180,Goyal Enterprises,Goyal Group,Rice,chawal,16.2,648.0,40.0,
MDM008176,2025-01-08,Wednesday,0,SCH0203,Goyal Enterprises,Goyal Group,Wheat,Gehun,22.6,678.0,30.0,PAID
MDM001315,2025-01-08,Wednesday,0,SCH0321,Singh Agro,Singh Group,Mustard Oil,Sarson Tel,25.0,,,DUE
MDM001663,2025-01-08,Wednesday,0,SCH0404,Singh Brothers,Singh Group,Pulses / Dal,Daal,38.2,3438.0,90.0,DUE
MDM011277,2025-01-08,Wednesday,0,SCH0426,Goyal Rice Mill,Goyal Group,Pulses / Dal,Daal,41.2,3708.0,90.0,PAID
MDM008221,2025-01-08,Wednesday,0,SCH0436,Goyal Rice Mill,Goyal Group,Wheat,Wheat,46.5,1395.0,30.0,PAID
MDM011300,2025-01-08,Wednesday,0,SCH0534,Goyal Rice Mill,Goyal Group,Rice,Chawal,37.5,1500.0,40.0,DUE
MDM008060,2025-01-09,Thursday,0,SCH0026,S. Agro Works,Singh Group,Rice,Chawal,27.0,1080.0,40.0,PENDING
MDM006733,2025-01-09,Thursday,0,SCH0051,Goyal Rice Mill,Goyal Group,Pulses / Dal,Dal,52.1,4689.0,90.0,
MDM005308,2025-01-09,Thursday,0,SCH0072,Sharma & Sons,Sharma Group,Pulses / Dal,Daal,25.6,2304.0,90.0,
MDM000195,2025-01-09,Thursday,0,SCH0181,Singh Agro,Singh Group,Rice,RICE,25.2,1008.0,40.0,PENDING
MDM000261,2025-01-09,Thursday,0,SCH0224,Goyal Enterprises,Goyal Group,Wheat,WHEAT,23.8,714.0,30.0,DUE
